timestamp,cpu,memoria,disco
2026-05-09 04:42:31.927119,46.0,60.6,95.3
2026-05-09 04:42:37.197715,100.0,60.7,95.3
2026-05-09 04:42:42.487142,100.0,60.5,95.3
2026-05-09 04:42:47.521481,100.0,60.5,95.3
2026-05-09 04:42:52.884964,100.0,60.4,95.3
2026-05-09 04:42:58.217861,100.0,60.4,95.3
2026-05-09 04:43:03.581040,100.0,60.3,95.3
2026-05-09 04:43:08.885356,100.0,60.3,95.3
2026-05-09 04:43:14.217327,100.0,60.3,95.3
2026-05-09 04:43:19.546453,100.0,60.3,95.3
2026-05-09 04:43:24.575559,100.0,60.3,95.3
2026-05-09 04:43:29.605966,100.0,60.3,95.3
2026-05-09 04:43:43.421234,100.0,60.3,95.3
2026-05-09 04:43:48.759035,100.0,60.3,95.3
2026-05-09 04:43:54.027131,100.0,60.4,95.3
2026-05-09 04:43:59.297050,100.0,61.3,95.3
2026-05-09 04:44:04.729341,100.0,61.6,95.3
2026-05-09 04:52:29.056901,25.6,61.9,95.3
2026-05-09 04:52:34.067455,13.4,62.0,95.3
2026-05-09 04:52:39.080949,18.2,62.5,95.3
2026-05-09 04:52:44.318172,100.0,62.7,95.3
2026-05-09 04:52:49.586407,100.0,62.8,95.3
2026-05-09 04:52:54.617604,100.0,62.8,95.3
2026-05-09 04:52:59.649022,100.0,62.6,95.3
2026-05-09 04:53:04.689236,100.0,62.6,95.3
2026-05-09 04:53:09.721548,100.0,62.5,95.3
2026-05-09 04:53:15.776105,100.0,62.5,95.3
2026-05-09 04:53:20.818731,100.0,62.5,95.3
2026-05-09 04:53:25.868452,100.0,62.5,95.3
2026-05-09 04:53:31.133778,100.0,62.5,95.3
2026-05-09 04:53:36.494424,100.0,62.5,95.3
2026-05-09 04:53:41.825146,100.0,62.5,95.3
2026-05-09 04:53:47.103885,100.0,62.8,95.3
2026-05-09 04:53:52.245541,100.0,62.7,95.3
2026-05-09 04:53:57.313258,100.0,62.6,95.3
2026-05-09 04:54:02.360710,100.0,62.6,95.3
2026-05-09 04:54:07.400204,100.0,62.7,95.3
2026-05-09 04:54:12.476782,100.0,64.2,95.3
2026-05-09 04:54:17.555877,100.0,64.8,95.3
2026-05-09 04:54:22.659097,100.0,65.4,95.3
2026-05-09 04:54:27.726297,100.0,65.3,95.3
2026-05-09 04:54:32.756186,100.0,65.2,95.3
2026-05-09 04:54:37.787185,100.0,65.4,95.3
2026-05-09 04:54:42.834889,100.0,63.8,95.3
2026-05-09 04:54:47.870645,100.0,63.7,95.3
2026-05-09 04:54:52.899872,100.0,63.8,95.3
2026-05-09 04:54:57.963252,100.0,64.6,95.3
2026-05-09 04:55:02.994074,100.0,64.5,95.3
2026-05-09 04:55:08.026283,100.0,65.1,95.3
2026-05-09 04:55:13.057633,100.0,65.3,95.3
2026-05-09 04:55:18.093285,100.0,65.4,95.3
2026-05-09 04:55:23.127685,100.0,65.4,95.3
2026-05-09 04:55:28.197052,100.0,65.2,95.3
2026-05-09 04:55:38.228265,100.0,65.5,95.3
2026-05-09 04:55:43.271573,100.0,65.5,95.3
2026-05-09 04:55:48.301227,100.0,65.5,95.3
2026-05-09 04:55:53.339626,100.0,65.5,95.3
2026-05-09 04:55:58.367831,100.0,65.1,95.3
2026-05-09 04:56:03.398924,100.0,65.5,95.3
2026-05-09 04:56:08.427340,100.0,65.7,95.3
2026-05-09 04:56:13.458021,100.0,65.6,95.3
2026-05-09 04:56:18.491290,100.0,65.7,95.3
2026-05-09 04:56:23.524001,100.0,65.6,95.3
2026-05-09 04:56:28.569705,100.0,65.6,95.3
2026-05-09 04:56:33.601529,100.0,65.5,95.3
2026-05-09 04:56:38.633252,100.0,64.8,95.3
2026-05-09 04:56:43.665367,100.0,64.8,95.3
2026-05-09 04:56:48.700031,100.0,64.9,95.3
2026-05-09 04:56:53.739426,100.0,65.0,95.3
2026-05-09 04:56:58.764983,100.0,65.2,95.3
2026-05-09 04:57:03.791611,100.0,64.9,95.3
2026-05-09 04:57:08.823767,100.0,64.9,95.3
2026-05-09 04:57:13.857746,100.0,65.0,95.3
2026-05-09 04:57:18.889222,100.0,65.2,95.3
2026-05-09 04:57:23.919419,100.0,65.4,95.3
2026-05-09 04:57:28.948357,100.0,65.8,95.3
2026-05-09 04:57:34.006109,100.0,65.6,95.3
2026-05-09 04:57:39.076355,100.0,66.0,95.3
2026-05-09 04:57:44.116796,100.0,66.5,95.3
2026-05-09 04:57:49.158614,100.0,66.2,95.3
2026-05-09 04:57:54.216480,100.0,66.4,95.3
2026-05-09 04:57:59.229958,100.0,67.2,95.3
2026-05-09 04:58:04.259903,100.0,67.0,95.3
2026-05-09 04:58:09.304410,100.0,67.0,95.3
2026-05-09 04:58:14.370411,100.0,66.9,95.3
2026-05-09 04:58:19.397293,100.0,67.0,95.3
2026-05-09 04:58:24.425121,100.0,66.9,95.3
2026-05-09 04:58:29.460315,100.0,66.9,95.3
2026-05-09 04:58:34.525812,100.0,67.0,95.3
2026-05-09 04:58:39.571845,100.0,66.9,95.3
2026-05-09 04:58:44.611173,100.0,66.9,95.3
2026-05-09 04:58:49.645591,100.0,67.1,95.3
2026-05-09 04:58:54.706462,100.0,67.0,95.3
2026-05-09 04:58:59.739722,100.0,67.0,95.3
2026-05-09 04:59:04.778626,100.0,67.1,95.3
2026-05-09 04:59:09.806756,100.0,67.1,95.3
2026-05-09 04:59:14.843865,100.0,67.4,95.3
2026-05-09 04:59:19.926216,100.0,67.5,95.3
2026-05-09 04:59:24.986203,100.0,67.4,95.3
2026-05-09 04:59:30.079888,100.0,67.5,95.3
2026-05-09 04:59:35.154574,100.0,67.5,95.3
